
 BIOL1009   FRL    BIOL PRINCIPLES,PART I ONLINE               C       3.00      2018/SM
 CS1073     FR01B  INTR COMP PROG I (IN JAVA)                  F       4.00      2017/WI
 CS1073     FR02A  INTR COMP PROG I (IN JAVA)                  B+      4.00      2017/FA
 CS1083     FR01B  INTRO COMP PROG II (IN JAVA)                B-      4.00      2018/WI
 CS1203     FR01A  OVERVIEW OF COMPUTER SCIENCE                A+      3.00      2017/FA
 CS1303     FR02B  DISCRETE STRUCTURES                         A-      4.00      2017/WI
 CS2333     FR01B  COMPUTAB.& FORMAL LANG.                     C+      4.00      2018/WI
 ECE1813    FR01A  ELECTRICITY & MAGNETISM                     B       4.00      2017/FA
 ECE2215    FR01A  DIGITAL LOGIC DESIGN LAB                    B-      1.00      2018/FA
 ENGG1001   FR01A  ENG PRACTICE LECTURE SERIES                 CR      0.00      2018/FA
 ENGG1003   FR02A  ENG. TECHNICAL COMMUNICATIONS               B+      4.00      2018/FA
 ENGG1015   FR09A  INTRO TO ENG DESIGN & PROB SOL              B       2.00      2018/FA
 ENGL1103   FR04B  FUND'LS OF CLEAR WRITING                    B+      3.00      2017/WI
 HIST3925   FR01B  TECHNOLOGY AND SOCIETY                      A+      3.00      2018/WI
 INFO1103   FR02B  DATA & INFORMATION MANAGEMENT               B       4.00      2018/WI
 MATH1003   FR02B  INTRO TO CALCULUS I                         A+      3.00      2017/WI
 MATH1013   FR01A  INTRO TO CALCULUS II                        B       3.00      2017/FA
 MATH1503   FR02A  INTRODUC.TO LINEAR ALGEBRA                  A       3.00      2017/FA
 PHIL1101   FR01B  CRITICAL THINKING                           A       3.00      2017/WI    
 STAT2593   FR01B  PROB & STAT FOR ENG                         B+      3.00      2018/WI
